"data_id","language","form","age","gender","mom_ed","comprehension","production"
32383,"Russian","WG",8,"Female",NA,33,0
32384,"Russian","WG",8,"Male",NA,85,7
32385,"Russian","WG",8,"Male",NA,13,0
32386,"Russian","WG",8,"Male",NA,51,0
32387,"Russian","WG",8,"Male",NA,48,2
32388,"Russian","WG",8,"Male",NA,35,0
32389,"Russian","WG",8,"Male",NA,21,0
32390,"Russian","WG",8,"Male",NA,41,0
32391,"Russian","WG",8,"Male",NA,49,5
32392,"Russian","WG",8,"Female",NA,11,0
32393,"Russian","WG",8,"Female",NA,111,7
32394,"Russian","WG",8,"Female",NA,92,0
32395,"Russian","WG",8,"Male",NA,11,0
32396,"Russian","WG",8,"Female",NA,24,0
32397,"Russian","WG",8,"Male",NA,12,0
32398,"Russian","WG",8,"Male",NA,6,0
32399,"Russian","WG",8,"Male",NA,106,22
32400,"Russian","WG",8,"Female",NA,43,0
32401,"Russian","WG",8,"Male",NA,21,0
32402,"Russian","WG",8,"Male",NA,69,3
32403,"Russian","WG",8,"Female",NA,148,3
32404,"Russian","WG",8,"Male",NA,22,1
32405,"Russian","WG",8,"Female",NA,54,1
32406,"Russian","WG",8,"Female",NA,3,0
32407,"Russian","WG",8,"Male",NA,55,0
32408,"Russian","WG",8,"Female",NA,19,1
32409,"Russian","WG",8,"Male",NA,64,0
32410,"Russian","WG",8,"Female",NA,93,5
32411,"Russian","WG",8,"Male",NA,45,0
32412,"Russian","WG",8,"Female",NA,26,3
32413,"Russian","WG",8,"Female",NA,155,0
32414,"Russian","WG",8,"Female",NA,31,0
32415,"Russian","WG",8,"Male",NA,44,2
32416,"Russian","WG",8,"Male",NA,34,10
32417,"Russian","WG",8,"Female",NA,54,0
32418,"Russian","WG",8,"Female",NA,71,4
32419,"Russian","WG",8,"Female",NA,25,1
32420,"Russian","WG",8,"Female",NA,12,0
32421,"Russian","WG",8,"Male",NA,13,0
32422,"Russian","WG",8,"Male",NA,46,2
32423,"Russian","WG",8,"Female",NA,6,0
32424,"Russian","WG",8,"Female",NA,13,1
32425,"Russian","WG",8,"Male",NA,13,0
32426,"Russian","WG",8,"Male",NA,19,0
32427,"Russian","WG",8,"Male",NA,22,0
32428,"Russian","WG",8,"Male",NA,11,0
32429,"Russian","WG",8,"Female",NA,49,0
32430,"Russian","WG",8,"Female",NA,89,1
32431,"Russian","WG",8,"Male",NA,80,16
32432,"Russian","WG",8,"Female",NA,125,9
32433,"Russian","WG",8,"Male",NA,59,4
32434,"Russian","WG",8,"Male",NA,70,5
32435,"Russian","WG",8,"Male",NA,98,4
32436,"Russian","WG",8,"Female",NA,32,0
32437,"Russian","WG",8,"Male",NA,83,0
32438,"Russian","WG",8,"Female",NA,12,2
32439,"Russian","WG",8,"Male",NA,27,0
32440,"Russian","WG",8,"Male",NA,83,0
32441,"Russian","WG",8,"Male",NA,17,1
32442,"Russian","WG",9,"Male",NA,27,2
32443,"Russian","WG",9,"Female",NA,23,0
32444,"Russian","WG",9,"Female",NA,11,1
32445,"Russian","WG",9,"Female",NA,11,0
32446,"Russian","WG",9,"Female",NA,62,1
32447,"Russian","WG",9,"Female",NA,73,2
32448,"Russian","WG",9,"Female",NA,25,1
32449,"Russian","WG",9,"Female",NA,109,10
32450,"Russian","WG",9,"Male",NA,112,32
32451,"Russian","WG",9,"Male",NA,113,6
32452,"Russian","WG",9,"Female",NA,15,0
32453,"Russian","WG",9,"Male",NA,38,7
32454,"Russian","WG",9,"Male",NA,42,0
32455,"Russian","WG",9,"Female",NA,103,0
32456,"Russian","WG",9,"Female",NA,10,0
32457,"Russian","WG",9,"Female",NA,27,4
32458,"Russian","WG",9,"Male",NA,166,10
32459,"Russian","WG",9,"Male",NA,121,7
32460,"Russian","WG",9,"Female",NA,19,2
32461,"Russian","WG",9,"Female",NA,19,17
32462,"Russian","WG",9,"Male",NA,55,0
32463,"Russian","WG",9,"Male",NA,186,12
32464,"Russian","WG",9,"Male",NA,110,14
32465,"Russian","WG",9,"Male",NA,113,4
32466,"Russian","WG",9,"Female",NA,46,4
32467,"Russian","WG",9,"Female",NA,161,20
32468,"Russian","WG",9,"Female",NA,81,5
32469,"Russian","WG",9,"Male",NA,127,10
32470,"Russian","WG",9,"Male",NA,233,2
32471,"Russian","WG",9,"Male",NA,51,0
32472,"Russian","WG",9,"Male",NA,77,6
32473,"Russian","WG",9,"Female",NA,42,3
32474,"Russian","WG",9,"Female",NA,239,6
32475,"Russian","WG",9,"Male",NA,57,3
32476,"Russian","WG",9,"Male",NA,45,0
32477,"Russian","WG",9,"Female",NA,160,7
32478,"Russian","WG",9,"Female",NA,139,21
32479,"Russian","WG",9,"Male",NA,102,0
32480,"Russian","WG",9,"Male",NA,40,7
32481,"Russian","WG",9,"Male",NA,17,6
32482,"Russian","WG",9,"Female",NA,54,6
32483,"Russian","WG",9,"Male",NA,88,1
32484,"Russian","WG",10,"Male",NA,27,0
32485,"Russian","WG",10,"Female",NA,109,4
32486,"Russian","WG",10,"Female",NA,56,9
32487,"Russian","WG",10,"Male",NA,112,5
32488,"Russian","WG",10,"Male",NA,149,10
32489,"Russian","WG",10,"Female",NA,147,20
32490,"Russian","WG",10,"Female",NA,78,5
32491,"Russian","WG",10,"Male",NA,86,18
32492,"Russian","WG",10,"Female",NA,145,44
32493,"Russian","WG",10,"Male",NA,189,38
32494,"Russian","WG",10,"Female",NA,105,7
32495,"Russian","WG",10,"Female",NA,73,10
32496,"Russian","WG",10,"Female",NA,161,0
32497,"Russian","WG",10,"Female",NA,3,0
32498,"Russian","WG",10,"Male",NA,2,0
32499,"Russian","WG",10,"Female",NA,14,0
32500,"Russian","WG",10,"Male",NA,103,3
32501,"Russian","WG",10,"Male",NA,101,1
32502,"Russian","WG",10,"Female",NA,51,7
32503,"Russian","WG",10,"Male",NA,93,2
32504,"Russian","WG",10,"Female",NA,116,0
32505,"Russian","WG",10,"Male",NA,128,6
32506,"Russian","WG",10,"Female",NA,116,16
32507,"Russian","WG",10,"Female",NA,68,20
32508,"Russian","WG",10,"Female",NA,36,10
32509,"Russian","WG",10,"Male",NA,90,7
32510,"Russian","WG",10,"Male",NA,101,0
32511,"Russian","WG",10,"Female",NA,178,4
32512,"Russian","WG",10,"Male",NA,96,1
32513,"Russian","WG",10,"Male",NA,115,0
32514,"Russian","WG",10,"Male",NA,33,0
32515,"Russian","WG",10,"Male",NA,19,1
32516,"Russian","WG",10,"Female",NA,54,2
32517,"Russian","WG",10,"Male",NA,101,12
32518,"Russian","WG",10,"Male",NA,25,3
32519,"Russian","WG",10,"Male",NA,32,5
32520,"Russian","WG",10,"Male",NA,46,8
32521,"Russian","WG",10,"Male",NA,186,10
32522,"Russian","WG",10,"Male",NA,67,3
32523,"Russian","WG",10,"Female",NA,79,6
32524,"Russian","WG",10,"Male",NA,33,0
32525,"Russian","WG",10,"Male",NA,26,4
32526,"Russian","WG",10,"Female",NA,136,1
32527,"Russian","WG",10,"Male",NA,53,0
32528,"Russian","WG",10,"Male",NA,22,6
32529,"Russian","WG",10,"Female",NA,148,1
32530,"Russian","WG",10,"Female",NA,98,0
32531,"Russian","WG",10,"Male",NA,13,4
32532,"Russian","WG",10,"Male",NA,120,7
32533,"Russian","WG",10,"Female",NA,127,5
32534,"Russian","WG",10,"Female",NA,93,13
32535,"Russian","WG",10,"Female",NA,112,12
32536,"Russian","WG",10,"Male",NA,192,6
32537,"Russian","WG",10,"Male",NA,92,5
32538,"Russian","WG",10,"Male",NA,161,6
32539,"Russian","WG",10,"Female",NA,202,15
32540,"Russian","WG",10,"Male",NA,186,6
32541,"Russian","WG",10,"Female",NA,6,0
32542,"Russian","WG",10,"Female",NA,144,19
32543,"Russian","WG",10,"Male",NA,194,0
32544,"Russian","WG",10,"Male",NA,48,3
32545,"Russian","WG",10,"Male",NA,99,0
32546,"Russian","WG",10,"Female",NA,92,1
32547,"Russian","WG",11,"Male",NA,18,0
32548,"Russian","WG",11,"Female",NA,33,0
32549,"Russian","WG",11,"Female",NA,139,9
32550,"Russian","WG",11,"Male",NA,183,16
32551,"Russian","WG",11,"Male",NA,40,4
32552,"Russian","WG",11,"Male",NA,38,7
32553,"Russian","WG",11,"Female",NA,198,27
32554,"Russian","WG",11,"Female",NA,122,8
32555,"Russian","WG",11,"Female",NA,95,25
